неспам,"Иди до точки Джуронг  сумасшедший .. Доступно только в буфете Bugis n Great World La E ... Кинотеатр есть любовь ..."
неспам,"Хорошо  Лар... Шучу с тобой..."
спам,"Бесплатное участие в 2-х еженедельных соревнованиях за победу в финале Кубка Англии 21 мая 2005 года. Отправьте сообщение FA на номер 87121  чтобы получить ответный вопрос (стандартная скорость отправки сообщений)."
неспам,U dun говорит так рано хор ... U c уже тогда говорят ...
неспам,"Нет  я не думаю  что он ходит в USF  хотя он живет где-то здесь."
спам,"FreeMsg Привет  дорогая  прошло уже 3 недели  а ответа нет! Я хотел бы немного повеселиться вы для него все еще? Тб ок! XxX std chgs для отправки  ?1.50 для rcv"
неспам,Даже мой брат не любит со мной разговаривать. Они относятся ко мне как к патенту на СПИД.
неспам,"По вашему запросу «Melle Melle (Oru Minnaminunginte Nurungu Vettam)» была установлена в качестве мелодии для всех вызывающих абонентов. Нажмите *9  чтобы скопировать Callertune ваших друзей"
спам,"ПОБЕДИТЕЛЬ!! Как ценный клиент сети  вы были выбраны для получения призового вознаграждения в размере 900 фунтов стерлингов! Чтобы подать заявку  позвоните по номеру 09061701461. Код заявки KL341. Действует только 12 часов."
спам,Был ли ваш мобильный 11 месяцев или больше? UR имеет право на бесплатное обновление до новейших цветных мобильных телефонов с камерой! Позвоните в компанию Mobile Update БЕСПЛАТНО по телефону 08002986030
неспам,"Я скоро буду дома и не хочу больше говорить об этом сегодня вечером  ладно? Я сегодня достаточно наплакался."
спам,"ШЕСТЬ шансов выиграть ДЕНЬГИ! От 100 до 20000 фунтов txt>CSH11 и отправить на номер 87575. Стоимость 150р/день  6дней  16+ TsandCs применяются Ответить HL 4 info"
спам,СРОЧНЫЙ! Вы выиграли БЕСПЛАТНОЕ участие в розыгрыше 100 000 призовых джекпотов на 1 неделю! Отправьте сообщение: ПРЕТЕНЗИЯ на номер: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
неспам,"Я искал подходящие слова  чтобы поблагодарить вас за эту передышку. Я обещаю  что не буду принимать вашу помощь как должное и выполню свое обещание. Ты был замечательным и благословенным во все времена."
неспам,У МЕНЯ СВИДАНИЕ В ВОСКРЕСЕНЬЕ С УИЛЛОМ!!
спам,"XXXMobileMovieClub: Чтобы использовать свой кредит  щелкните ссылку WAP в следующем текстовом сообщении или щелкните здесь>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
неспам,"О  к... я смотрю здесь :)"
неспам,"Эх  ты помнишь  как пишется его имя... Да  помню. Он капризничает  пока не намокнет."
неспам,"Хорошо  если это то  что ты чувствуешь. Вот как это должно быть"
